STT,TÊN KHÁCH HÀNG,MÃ SỐ THUẾ,TÊN NGƯỜI ĐẠI DIỆN,EMAIL,SỐ ĐIỆN THOẠI,TỈNH GIAO HÀNG,ĐỊA CHỈ GIAO HÀNG CỤ THỂ,GHI CHÚ
1,ĐỒNG XANH,,,,,,,
2,BÁCH HOÁ XANH,,,,,,,
3,KINGFOOD,,,,,,,
4,MASAN CONSUMER,,,,,,,
5,SENDO FARM,,,,,,,
6,TNT,,,,,,,
7,AN PHÚ,,,,,,,
8,VIETIZ,,,,,,,
9,TRAN GIA,,,,,,,
10,MEDOSA,,,,,,,
11,WINMART,,,,,,,
